GEO_ID;GEO_ID_F;NAME;NAICS2017;ciiu4;grupo;NAICS2017_F;NAICS2017_LABEL;YEAR;RCPTOT;RCPTOT_S;PAYANN;PAYANN_S;EMP;EMP_S;EMPQ1PW;EMPQ1PW_S;HOURS;HOURS_S;PAYANPW;PAYANPW_S;CSTMTOT;CSTMTOT_S;CSTMPRT;CSTMPRT_S;CSTRSL;CSTRSL_S;CSTFU;CSTFU_S;CSTELEC;CSTELEC_S;CSTCNT;CSTCNT_S;ELECPCH;ELECPCH_S;ELECGEN;ELECGEN_S;ELECSLD;ELECSLD_S;VALADD;VALADD_S;INVTOTB;INVTOTB_S;INVFINB;INVFINB_S;INVWIPB;INVWIPB_S;INVMATB;INVMATB_S;INVTOTE;INVTOTE_S;INVFINE;INVFINE_S;INVWIPE;INVWIPE_S;INVMATE;INVMATE_S;RPTOT;RPTOT_S;RPBLD;RPBLD_S;RPMCH;RPMCH_S;PCHTT;PCHTT_S;PCHTEMP;PCHTEMP_S;PCHCMPQ;PCHCMPQ_S;PCHEXSO;PCHEXSO_S;PCHDAPR;PCHDAPR_S;PCHCSVC;PCHCSVC_S;PCHRPR;PCHRPR_S;PCHRFUS;PCHRFUS_S;PCHADVT;PCHADVT_S;PCHPRTE;PCHPRTE_S;PCHTAX;PCHTAX_S;PCHOEXP;PCHOEXP_S
0100000US;null;United States;333613;2814;28;null;Mechanical power transmission equipment manufacturing;2018;4952863;0.7;993827;0.3;16772;0.3;11726;0.6;22871;0.7;542130;0.4;2358775;1.2;1974830;1.7;209088;1.3;10906;1.8;44916;5.8;119034;5.9;553301;3.2;0;X;0;X;2616118;0.9;986330;0.5;422517;1.6;273512;0.8;290301;0.2;1046362;1.4;393996;1.2;324064;2.9;328302;1.2;34937;0.8;25517;1.1;9420;0.5;403369;4.1;51756;14.9;5940;13.5;6902;6.5;4319;14.1;6321;9.0;71307;1.7;9024;12.0;11805;13.5;25070;4.0;20040;4.5;190882;3.8
0100000US;null;United States;333618;2790;27;null;Other engine equipment manufacturing;2018;28905166;0.3;2381728;1.0;39659;2.4;28118;3.5;54606;0.7;1308470;1.0;18694898;0.3;18219890;0.3;224311;0.6;35613;2.6;118943;0.9;96141;1.3;1651395;1.6;D;D;D;D;10389632;0.5;2925660;0.1;985574;0.2;682465;0.2;1257621;0.2;3482153;0.2;1027736;0.4;819667;0.2;1634750;0.3;82525;1.4;58261;0.6;24263;4.3;1919137;1.4;176701;1.2;10422;5.2;13156;8.1;13875;2.3;9906;5.4;145836;1.2;45295;1.4;29665;2.3;134989;1.8;82297;2.0;1256995;1.5
0100000US;null;United States;333912;2813;28;null;Air and gas compressor manufacturing;2018;9728499;3.3;1314154;5.9;21493;4.5;12225;3.0;21704;5.4;539068;3.2;5877629;4.8;5317301;5.0;402373;13.4;11100;7.9;40322;7.1;106533;13.6;507201;8.1;0;X;0;X;3946311;1.9;1473283;2.8;406431;7.5;330528;3.9;736325;1.2;1671098;2.3;424005;5.9;408395;3.5;838698;0.7;63444;5.5;52107;6.2;11337;4.9;777803;5.0;90520;2.5;14897;4.1;8934;2.9;7041;3.7;22364;3.1;40805;3.2;6627;7.2;25585;6.8;52401;5.9;38533;4.6;470096;7.6
0100000US;null;United States;333914;2813;28;null;Measuring, dispensing, and other pumping equipment manufacturing;2018;21587715;0.4;3281992;0.2;48737;0.4;28043;0.5;54043;0.7;1482366;0.4;9146988;0.6;8066417;0.7;695301;1.0;32201;0.7;88960;0.9;264110;0.3;1126685;0.9;D;D;0;X;12346492;0.3;3748975;1.0;1418368;0.8;869441;1.0;1461166;1.3;3899826;1.7;1285703;0.6;907871;1.4;1706251;2.7;142926;1.1;108761;1.4;34165;0.3;1518121;3.0;120971;8.0;19988;2.7;40976;1.5;26509;4.5;29990;3.8;137065;3.9;23261;9.0;61261;8.3;146005;1.0;62364;4.1;849732;4.2
0100000US;null;United States;333921;2816;28;null;Elevator and moving stairway manufacturing;2018;3406591;2.8;554971;0.7;9319;0.7;5793;1.0;11853;1.0;244972;1.2;1970214;2.0;1782150;2.0;119056;2.8;6076;0.8;13403;2.6;49529;9.8;144664;2.7;0;X;0;X;1474267;5.9;324216;3.4;52897;3.2;59335;9.8;211984;3.9;360893;1.8;73701;1.0;76421;2.4;210771;2.7;41304;5.2;D;D;D;D;269190;9.0;15510;4.0;1772;11.9;6157;21.4;12235;2.5;4753;6.9;18040;3.1;2622;8.4;9621;6.5;22855;6.3;8240;8.2;167385;12.7
0100000US;null;United States;333922;2816;28;null;Conveyor and conveying equipment manufacturing;2018;10381553;0.9;2486457;0.9;36408;0.7;22021;0.9;40530;1.2;1152704;1.6;5207101;0.7;4091072;0.8;711830;1.0;13774;5.0;52900;1.3;337526;2.7;607606;1.5;0;X;0;X;5331788;1.9;1263920;1.0;413787;1.3;296151;1.8;553981;2.4;1560375;1.8;493777;5.1;373498;1.6;693099;2.0;173114;3.2;105855;4.8;67260;2.0;1224700;10.9;103235;7.9;13566;2.6;219476(s);59.0;10350;4.0;28996;2.1;49922;3.2;10344;4.7;38333;3.4;78120;3.1;112335;1.1;560024;3.9
0100000US;null;United States;333923;2816;28;null;Overhead traveling crane, hoist, and monorail system manufacturing;2018;8101052;0.7;1084796;2.7;18353;3.4;12803;2.5;23681;3.5;668800;2.4;4126456;0.9;3843054;0.9;186396;1.3;13242;0.9;21052;1.5;62712;3.0;237326;1.8;0;X;0;X;4185166;0.6;1491637;0.4;731017;1.0;386463;0.9;374157;1.8;1919838;0.7;854612;0.6;473439;0.9;591788;1.7;64694;3.0;43176;2.9;21518;6.0;532965;5.6;79757;33.1;25632;2.0;12981;2.6;3941;5.0;9039;7.2;56151;2.7;8181;3.8;21442;8.9;87565;4.7;16556;6.7;211719;2.9
0100000US;null;United States;333924;2816;28;null;Industrial truck, trailer, and stacker machinery manufacturing;2018;10741751;0.2;1614185;0.3;28921;0.3;18352;0.4;36455;0.4;1031628;0.4;7018147;0.1;6692901;0.2;229758;3.4;11449;2.9;37886;0.5;46154;0.2;446890;1.5;0;X;0;X;3763068;0.5;1486951;0.8;638854;1.8;295349;0.6;552748;1.2;1655254;0.3;644222;0.5;329445;0.8;681587;0.3;386436;0.3;D;D;D;D;628408;2.3;59831;0.9;5023;2.8;7006;2.5;2273;2.8;9302;4.8;56624;1.3;17898;0.9;22487;4.6;45375;4.2;28847;7.4;373743;2.8
0100000US;null;United States;333991;2818;28;null;Power-driven handtool manufacturing;2018;3472153;0.2;387900;2.0;6857;1.7;3824;3.4;8062;2.2;231342;2.7;1881979;0.2;1360425;0.2;437963;0.1;3441;0.0;17509;0.2;62641;1.5;217110;0.1;0;X;0;X;1746557;0.6;633913;1.0;294212;0.9;183954;2.9;155747;0.4;836134;1.3;405348;1.3;229202;2.8;201584;2.4;17468;5.4;10723;7.3;6746;2.4;325787;4.2;29928;3.4;2984;6.0;6419;4.5;2466;14.9;2599;9.7;30260;3.4;2292;14.4;57878;2.1;18831;7.1;6664;5.9;165466;5.3
0100000US;null;United States;333992;2599;25;null;Welding and soldering equipment manufacturing;2018;5216597;0.7;948587;0.5;14061;0.4;8003;0.8;16351;1.0;426726;1.5;2504044;1.2;2300016;1.3;123577;5.8;11741;1.3;29473;1.4;39237;4.1;323693;2.2;0;X;0;X;2796654;1.2;633240;2.0;284454;3.1;99733;9.5;249054;3.4;767948;1.0;358060;2.2;110228;3.9;299660;3.1;38186;2.4;33426;2.7;4760;8.7;338755;7.1;52771;6.1;7491;10.7;5013;13.4;12314;3.9;8488;6.9;36526;5.2;7001;5.7;23485;10.4;51775;10.3;14886;18.1;119006;11.8
